City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,21.0,75,100,6.39,ZA,['dt']
1,charters towers,-20.1,146.2667,23.29,90,36,3.29,AU,['dt']
2,coihaique,-45.5752,-72.0662,22.97,46,40,4.12,CL,['dt']
3,fortuna,40.5982,-124.1573,10.52,91,0,2.06,US,['dt']
4,atuona,-9.8,-139.0333,25.84,77,14,7.39,PF,['dt']
5,gat,31.61,34.7642,10.6,100,77,9.56,IL,['dt']
6,tosya,41.0155,34.0401,-6.44,82,100,2.25,TR,['dt']
7,ushuaia,-54.8,-68.3,12.81,44,40,4.12,AR,['dt']
8,lebu,-37.6167,-73.65,18.33,66,0,8.11,CL,['dt']
9,bredasdorp,-34.5322,20.0403,20.53,72,100,4.32,ZA,['dt']
10,cafarnaum,-11.6936,-41.4683,30.85,32,99,4.2,BR,['dt']
11,severo-kurilsk,50.6789,156.125,-5.93,64,75,5.87,RU,['dt']
12,bethel,41.3712,-73.414,5.3,41,0,5.14,US,['dt']
13,mataura,-46.1927,168.8643,9.15,93,100,3.43,NZ,['dt']
14,talnakh,69.4865,88.3972,-21.05,97,100,2.9,RU,['dt']
15,breves,-1.6822,-50.4803,27.62,83,97,2.2,BR,['dt']
16,umarkot,25.3616,69.7362,21.05,21,0,4.17,PK,['dt']
17,yulara,-25.2406,130.9889,26.13,23,0,3.32,AU,['dt']
18,nortelandia,-14.4547,-56.8028,30.71,57,26,0.91,BR,['dt']
19,ribeira grande,38.5167,-28.7,14.22,58,75,8.75,PT,['dt']
20,kavieng,-2.5744,150.7967,26.9,79,100,1.81,PG,['dt']
21,rikitea,-23.1203,-134.9692,26.15,74,97,5.5,PF,['dt']
22,honningsvag,70.9821,25.9704,2.86,70,20,11.32,NO,['dt']
23,iqaluit,63.7506,-68.5145,-32.95,67,75,3.09,CA,['dt']
24,hithadhoo,-0.6,73.0833,27.61,68,100,3.65,MV,['dt']
25,thompson,55.7435,-97.8558,-19.91,71,40,2.06,CA,['dt']
26,san ramon,37.7799,-121.978,14.23,66,0,1.79,US,['dt']
27,tasiilaq,65.6145,-37.6368,-16.91,53,2,5.86,GL,['dt']
28,khatanga,71.9667,102.5,-43.87,100,75,0.59,RU,['dt']
29,okhotsk,59.3833,143.3,-24.42,86,98,4.39,RU,['dt']
30,lalibela,12.0333,39.0333,16.05,28,0,4.19,ET,['dt']
31,puerto ayora,-0.7393,-90.3518,29.98,88,22,4.47,EC,['dt']
32,tiksi,71.6872,128.8694,-31.03,100,100,1.45,RU,['dt']
33,axim,4.8699,-2.2405,26.47,85,25,2.73,GH,['dt']
34,pitimbu,-7.4706,-34.8086,30.33,59,94,5.8,BR,['dt']
35,ilulissat,69.2167,-51.1,-22.99,77,75,3.09,GL,['dt']
36,berezovka,53.7214,25.4993,-2.63,94,100,1.81,BY,['dt']
37,shache,38.4167,77.2406,-0.94,65,0,0.81,CN,['dt']
38,jensen beach,27.2545,-80.2298,25.6,57,40,4.63,US,['dt']
39,avarua,-21.2078,-159.775,26.03,89,75,5.66,CK,['dt']
40,barrow,71.2906,-156.7887,-22.99,70,100,4.63,US,['dt']
41,barmer,25.75,71.3833,17.19,20,4,1.87,IN,['dt']
42,punta arenas,-53.15,-70.9167,16.06,51,75,7.72,CL,['dt']
43,ambanja,-13.6833,48.45,23.65,95,100,1.51,MG,['dt']
44,arman,59.7,150.1667,-29.9,83,71,3.9,RU,['dt']
45,ust-koksa,50.2696,85.6108,-15.51,94,73,0.6,RU,['dt']
46,rio gallegos,-51.6226,-69.2181,18.03,52,40,4.63,AR,['dt']
47,salalah,17.0151,54.0924,24.05,46,0,1.54,OM,['dt']
48,butaritari,3.0707,172.7902,27.15,80,100,10.32,KI,['dt']
49,deputatskiy,69.3,139.9,-43.72,99,58,2.0,RU,['dt']
50,jamestown,42.097,-79.2353,9.77,58,40,7.72,US,['dt']
51,victoria,22.2855,114.1577,19.41,92,96,4.02,HK,['dt']
52,saint george,37.1041,-113.5841,10.24,39,0,1.34,US,['dt']
53,farap,39.1704,63.6116,15.0,29,98,6.17,TM,['dt']
54,bluff,-46.6,168.3333,9.33,61,100,12.6,NZ,['dt']
55,hamilton,39.1834,-84.5333,14.02,71,100,4.63,US,['dt']
56,camopi,3.1655,-52.3158,26.66,88,63,2.12,GF,['dt']
57,buala,-8.145,159.5921,26.45,88,100,3.97,SB,['dt']
58,jijiga,9.35,42.8,18.32,61,3,3.48,ET,['dt']
59,clarksburg,39.2807,-80.3445,17.06,42,100,5.58,US,['dt']
60,naze,28.3667,129.4833,15.51,75,94,4.89,JP,['dt']
61,provideniya,64.3833,-173.3,-27.05,94,57,1.72,RU,['dt']
62,manggar,-2.8833,108.2667,25.86,85,100,3.64,ID,['dt']
63,kollam,8.8833,76.6,24.21,80,22,1.4,IN,['dt']
64,saskylakh,71.9167,114.0833,-33.77,99,99,0.98,RU,['dt']
65,boende,-0.2167,20.8667,29.14,35,100,1.15,CD,['dt']
66,moose factory,51.2585,-80.6094,-2.0,86,100,6.17,CA,['dt']
67,boa vista,2.8197,-60.6733,29.99,58,75,6.69,BR,['dt']
68,yaan,7.3833,8.5667,31.47,11,29,1.79,NG,['dt']
69,georgetown,5.4112,100.3354,24.26,88,98,3.57,MY,['dt']
70,hobart,-42.8794,147.3294,13.92,58,100,3.6,AU,['dt']
71,quelimane,-17.8786,36.8883,27.97,83,40,1.54,MZ,['dt']
72,mount gambier,-37.8333,140.7667,11.54,90,6,3.44,AU,['dt']
73,yellowknife,62.456,-114.3525,-19.71,77,100,3.6,CA,['dt']
74,new norfolk,-42.7826,147.0587,13.72,94,14,1.05,AU,['dt']
75,tornio,65.8481,24.1466,1.01,90,76,3.46,FI,['dt']
76,yurkivka,49.0126,31.1013,-5.84,86,41,5.56,UA,['dt']
77,huarmey,-10.0681,-78.1522,25.48,71,14,4.86,PE,['dt']
78,lorengau,-2.0226,147.2712,26.09,89,100,6.07,PG,['dt']
79,carnarvon,-24.8667,113.6333,24.8,70,0,9.1,AU,['dt']
80,victor harbor,-35.5667,138.6167,15.38,82,1,3.6,AU,['dt']
81,hilo,19.7297,-155.09,24.04,88,100,2.24,US,['dt']
82,narsaq,60.9167,-46.05,-17.88,72,0,2.18,GL,['dt']
83,arraial do cabo,-22.9661,-42.0278,29.98,83,40,4.63,BR,['dt']
84,vaini,-21.2,-175.2,24.09,100,40,1.03,TO,['dt']
85,pangnirtung,66.1451,-65.7125,-34.0,68,20,2.06,CA,['dt']
86,cape town,-33.9258,18.4232,22.23,78,20,8.23,ZA,['dt']
87,skibbereen,51.55,-9.2667,8.95,85,100,1.37,IE,['dt']
88,upernavik,72.7868,-56.1549,-25.59,92,100,2.48,GL,['dt']
89,barguzin,53.6167,109.6167,-17.59,92,60,0.7,RU,['dt']
90,daru,-9.0763,143.2092,24.26,94,100,5.29,PG,['dt']
91,busselton,-33.65,115.3333,15.67,94,7,4.36,AU,['dt']
92,gamba,-2.65,10.0,25.94,78,100,1.71,GA,['dt']
93,sosnogorsk,63.6023,53.8817,-10.91,93,100,4.16,RU,['dt']
94,tessalit,20.1986,1.0114,26.37,12,100,3.11,ML,['dt']
95,pita,10.8333,-12.5833,30.0,22,14,0.9,GN,['dt']
96,ternate,0.8,127.4,24.89,92,100,4.62,ID,['dt']
97,beira,-19.8436,34.8389,28.05,83,20,3.6,MZ,['dt']
98,albany,42.6001,-73.9662,4.57,41,100,1.79,US,['dt']
99,east london,-33.0153,27.9116,22.52,94,0,4.12,ZA,['dt']
100,svetlaya,46.5389,138.3297,-12.09,81,4,2.71,RU,['dt']
101,suba,10.8438,121.0102,26.59,79,100,8.31,PH,['dt']
102,mayor pablo lagerenza,-19.9309,-60.7718,29.63,60,85,3.53,PY,['dt']
103,sawtell,-30.3833,153.1,20.01,88,100,0.0,AU,['dt']
104,port alfred,-33.5906,26.891,21.77,90,100,1.79,ZA,['dt']
105,kidal,18.4411,1.4078,28.28,11,100,4.67,ML,['dt']
106,garden city,42.3256,-83.331,11.07,66,75,11.83,US,['dt']
107,mayo,38.8876,-76.5119,10.37,63,0,4.63,US,['dt']
108,chupa,66.27,33.0549,2.96,89,100,5.85,RU,['dt']
109,palu,-0.8917,119.8707,23.86,94,100,0.62,ID,['dt']
110,vanimo,-2.6741,141.3028,24.62,96,100,2.98,PG,['dt']
111,qaanaaq,77.484,-69.3632,-29.2,66,100,2.41,GL,['dt']
112,mahebourg,-20.4081,57.7,27.16,74,75,5.66,MU,['dt']
113,barabinsk,55.3571,78.357,-23.83,100,100,1.92,RU,['dt']
114,dunmore east,52.1514,-6.9861,8.71,78,0,0.0,IE,['dt']
115,haines junction,60.7522,-137.5108,-8.03,93,100,1.03,CA,['dt']
116,cidreira,-30.1811,-50.2056,26.31,62,27,4.53,BR,['dt']
117,saint-philippe,-21.3585,55.7679,26.77,85,82,6.25,RE,['dt']
118,mangochi,-14.4782,35.2645,22.47,90,100,0.68,MW,['dt']
119,coahuayana,18.7333,-103.6833,30.73,46,4,3.12,MX,['dt']
120,hirara,24.8,125.2833,20.22,76,100,6.92,JP,['dt']
121,cayenne,4.9333,-52.3333,30.02,66,20,7.2,GF,['dt']
122,nikolskoye,59.7035,30.7861,-2.06,90,100,4.25,RU,['dt']
123,dikson,73.5069,80.5464,-26.52,94,100,7.09,RU,['dt']
124,viedma,-40.8135,-62.9967,30.34,34,12,8.44,AR,['dt']
125,fallon,39.4735,-118.7774,7.18,59,75,2.57,US,['dt']
126,ajdabiya,30.7554,20.2263,12.55,56,92,4.33,LY,['dt']
127,oussouye,12.485,-16.5469,32.1,38,51,5.55,SN,['dt']
128,khandyga,62.6667,135.6,-45.47,100,100,1.08,RU,['dt']
129,tuatapere,-46.1333,167.6833,10.09,81,97,5.43,NZ,['dt']
130,helong,42.5397,128.9972,-13.0,93,8,2.5,CN,['dt']
131,gao,16.6362,1.637,28.35,11,100,4.35,ML,['dt']
132,vestmannaeyjar,63.4427,-20.2734,-0.45,93,75,12.86,IS,['dt']
133,beroroha,-21.6667,45.1667,24.18,77,100,2.04,MG,['dt']
134,labuhan,-6.8844,112.2051,24.6,91,100,3.71,ID,['dt']
135,batagay,67.6333,134.6333,-49.04,99,46,1.33,RU,['dt']
136,port elizabeth,-33.918,25.5701,23.39,88,40,5.14,ZA,['dt']
137,pevek,69.7008,170.3133,-30.32,96,100,1.45,RU,['dt']
138,evensk,61.95,159.2333,-30.41,74,69,4.09,RU,['dt']
139,guna,24.65,77.3167,15.45,31,0,2.14,IN,['dt']
140,taua,-5.9667,-40.3,29.41,49,100,3.36,BR,['dt']
141,narayangarh,30.4833,77.1333,13.1,57,0,2.0,IN,['dt']
142,sisimiut,66.9395,-53.6735,-22.45,96,100,3.0,GL,['dt']
143,darhan,49.4867,105.9228,-22.18,98,14,2.47,MN,['dt']
144,souillac,-20.5167,57.5167,27.21,74,75,5.66,MU,['dt']
145,yarada,17.65,83.2667,22.18,100,20,1.03,IN,['dt']
146,gobabis,-22.45,18.9667,21.14,68,92,1.77,NA,['dt']
147,aklavik,68.2191,-135.0107,-30.0,69,100,1.54,CA,['dt']
148,monroe,43.1501,-77.6831,12.23,49,100,6.17,US,['dt']
149,acapulco,16.8634,-99.8901,29.14,54,0,4.02,MX,['dt']
150,chokurdakh,70.6333,147.9167,-36.7,99,100,1.35,RU,['dt']
151,ponta delgada,37.7333,-25.6667,13.4,82,40,8.75,PT,['dt']
152,goure,13.9835,10.2704,23.75,15,100,4.47,NE,['dt']
153,torbay,47.6666,-52.7314,-4.78,82,75,10.29,CA,['dt']
154,mehran,33.1222,46.1646,13.09,52,73,1.23,IR,['dt']
155,dwarka,22.2394,68.9678,21.81,61,6,4.33,IN,['dt']
156,vila franca do campo,37.7167,-25.4333,13.23,82,64,7.49,PT,['dt']
157,quatre cocos,-20.2078,57.7625,27.06,80,24,6.94,MU,['dt']
158,henties bay,-22.116,14.2845,19.34,84,40,1.51,NA,['dt']
159,ketchikan,55.3422,-131.6461,3.99,87,0,0.0,US,['dt']
160,kirensk,57.7853,108.1119,-24.59,100,100,1.17,RU,['dt']
161,lagoa,39.05,-27.9833,13.04,62,100,8.61,PT,['dt']
162,college,64.8569,-147.8028,-15.79,71,75,0.0,US,['dt']
163,coquimbo,-29.9533,-71.3436,20.85,73,20,6.69,CL,['dt']
164,vestmanna,62.1564,-7.1664,6.51,81,100,10.8,FO,['dt']
165,iquitos,-3.7481,-73.2472,29.02,84,75,1.54,PE,['dt']
166,rantepao,-2.9701,119.8978,18.68,86,100,1.51,ID,['dt']
167,la macarena,2.1837,-73.7849,33.52,33,86,2.5,CO,['dt']
168,nyurba,63.2842,118.3319,-42.07,100,100,0.95,RU,['dt']
169,houma,29.5958,-90.7195,25.57,71,0,3.6,US,['dt']
170,bengkulu,-3.8004,102.2655,24.38,85,90,3.14,ID,['dt']
171,manzhouli,49.6,117.4333,-19.89,98,28,3.7,CN,['dt']
172,florianopolis,-27.6146,-48.5012,28.64,70,20,5.66,BR,['dt']
173,isangel,-19.55,169.2667,26.05,84,100,1.14,VU,['dt']
174,tuktoyaktuk,69.4541,-133.0374,-34.0,75,100,1.03,CA,['dt']
175,tura,25.5198,90.2201,15.3,49,6,1.71,IN,['dt']
176,bambous virieux,-20.3428,57.7575,27.14,74,75,5.66,MU,['dt']
177,byron bay,-28.65,153.6167,18.86,74,100,2.49,AU,['dt']
178,zyryanka,65.75,150.85,-37.62,99,85,1.93,RU,['dt']
179,beloha,-25.1667,45.05,23.62,77,100,4.31,MG,['dt']
180,san cristobal,7.7669,-72.225,27.1,38,55,2.86,VE,['dt']
181,presidente franco,-25.5333,-54.6167,35.29,27,20,1.54,PY,['dt']
182,fairbanks,64.8378,-147.7164,-15.78,75,75,0.0,US,['dt']
183,lamu,-2.2717,40.902,24.88,87,34,5.85,KE,['dt']
184,curup,-3.4667,102.5333,19.19,87,93,0.72,ID,['dt']
185,suluq,31.6682,20.2521,12.31,53,100,4.74,LY,['dt']
186,la ronge,55.1001,-105.2842,-3.86,74,75,1.03,CA,['dt']
187,roseburg,43.2165,-123.3417,6.95,80,75,0.0,US,['dt']
188,bathsheba,13.2167,-59.5167,27.34,69,75,7.2,BB,['dt']
189,kodiak,57.79,-152.4072,-2.27,59,0,7.2,US,['dt']
190,yerbogachen,61.2767,108.0108,-28.38,100,96,1.09,RU,['dt']
191,hambantota,6.1241,81.1185,25.19,100,20,3.6,LK,['dt']
192,saint-augustin,51.226,-58.6502,-13.52,66,0,1.85,CA,['dt']
193,raichur,16.2,77.3667,25.74,40,82,3.22,IN,['dt']
194,alyangula,-13.8483,136.4192,28.07,70,100,2.24,AU,['dt']
195,nigde,37.8333,34.75,-11.12,92,95,3.4,TR,['dt']
196,susehri,40.1644,38.0867,-9.42,90,94,2.1,TR,['dt']
197,kapaa,22.0752,-159.319,24.18,91,20,5.14,US,['dt']
198,kruisfontein,-34.0033,24.7314,22.16,81,99,1.36,ZA,['dt']
199,bonthe,7.5264,-12.505,25.88,67,100,4.58,SL,['dt']
200,mogadishu,2.0371,45.3438,24.95,86,100,8.57,SO,['dt']
201,kawalu,-7.3817,108.2082,22.45,95,100,0.83,ID,['dt']
202,tangi,34.3006,71.6536,12.0,27,100,2.55,PK,['dt']
203,najran,17.4924,44.1277,23.36,30,46,1.01,SA,['dt']
204,praia da vitoria,38.7333,-27.0667,13.14,71,75,8.18,PT,['dt']
205,constantine,36.365,6.6147,10.67,62,75,4.12,DZ,['dt']
206,anloga,5.7947,0.8973,27.5,81,88,6.44,GH,['dt']
207,mecca,21.4267,39.8261,19.52,51,100,5.26,SA,['dt']
208,sangar,63.9242,127.4739,-40.97,99,100,0.84,RU,['dt']
209,chuy,-33.6971,-53.4616,28.99,47,0,5.78,UY,['dt']
210,ballina,-28.8667,153.5667,18.9,99,100,1.95,AU,['dt']
211,norman wells,65.282,-126.8329,-23.98,77,75,0.0,CA,['dt']
212,dogondoutchi,13.6393,4.0287,28.61,11,100,3.93,NE,['dt']
213,el campo,29.1966,-96.2697,24.35,73,100,9.77,US,['dt']
214,katsuura,35.1333,140.3,10.23,85,100,6.75,JP,['dt']
215,senanga,-16.1167,23.2667,19.83,95,100,2.15,ZM,['dt']
216,roswell,34.0232,-84.3616,19.89,42,0,2.57,US,['dt']
217,kashi,39.4547,75.9797,0.56,74,0,2.0,CN,['dt']
218,ofunato,39.0717,141.7167,2.22,95,100,3.24,JP,['dt']
219,mar del plata,-38.0023,-57.5575,29.9,78,0,6.26,AR,['dt']
220,mantua,45.1667,10.7833,3.53,76,1,2.15,IT,['dt']
221,hami,42.8,93.45,0.85,48,100,2.11,CN,['dt']
222,kenai,60.5544,-151.2583,-2.7,95,100,3.6,US,['dt']
223,rawah,34.4816,41.9093,9.62,48,13,4.45,IQ,['dt']
224,ugoofaaru,5.6667,73.0,27.36,69,79,4.23,MV,['dt']
225,broome,42.2506,-75.833,5.81,63,100,4.47,US,['dt']
226,kieta,-6.2167,155.6333,26.42,84,100,2.38,PG,['dt']
227,karratha,-20.7377,116.8463,30.34,58,10,3.37,AU,['dt']
228,faanui,-16.4833,-151.75,26.78,76,14,5.45,PF,['dt']
229,severnoye,56.3491,78.3619,-20.74,100,100,2.04,RU,['dt']
230,sao filipe,14.8961,-24.4956,20.97,63,1,7.66,CV,['dt']
231,kasongo-lunda,-6.4667,16.8167,23.09,80,43,1.44,CD,['dt']
232,los llanos de aridane,28.6585,-17.9182,14.86,76,75,7.72,ES,['dt']
233,baykalsk,51.5058,104.1469,-13.21,79,89,3.09,RU,['dt']
234,namibe,-15.1961,12.1522,22.32,73,92,5.11,AO,['dt']
235,castro,-24.7911,-50.0119,27.29,44,9,1.16,BR,['dt']
236,presidente epitacio,-21.7633,-52.1156,27.73,69,98,4.03,BR,['dt']
237,port blair,11.6667,92.75,27.02,78,40,2.06,IN,['dt']
238,skrunda,56.6833,22.0167,-0.9,92,100,2.79,LV,['dt']
239,opuwo,-18.0607,13.84,23.53,44,100,6.38,NA,['dt']
240,shahr-e kord,32.3256,50.8644,0.87,93,40,4.12,IR,['dt']
241,gizo,-8.103,156.8419,27.7,79,99,5.63,SB,['dt']
242,seoul,37.5683,126.9778,-1.31,97,0,1.03,KR,['dt']
243,azare,11.6765,10.1948,24.47,18,16,4.32,NG,['dt']
244,santander,43.4647,-3.8044,5.81,88,20,2.68,ES,['dt']
245,isla mujeres,21.2311,-86.731,28.98,71,0,6.5,MX,['dt']
246,krasnogorodsk,56.8357,28.2822,-2.64,84,82,3.0,RU,['dt']
247,asau,46.4333,26.4,-3.49,96,100,2.17,RO,['dt']
248,zhezkazgan,47.8043,67.7144,-17.01,78,75,3.0,KZ,['dt']
249,victoria point,-27.5833,153.3,22.73,81,99,0.45,AU,['dt']
250,cherskiy,68.75,161.3,-35.48,99,100,2.2,RU,['dt']
251,addis abeba,9.025,38.7469,14.49,25,0,6.17,ET,['dt']
252,kavaratti,10.5669,72.642,26.85,69,86,4.0,IN,['dt']
253,paamiut,61.994,-49.6678,-14.66,74,100,3.31,GL,['dt']
254,barcelona,41.3888,2.159,12.05,75,75,11.83,ES,['dt']
255,vilhena,-12.7406,-60.1458,25.12,83,75,6.69,BR,['dt']
256,taoudenni,22.6783,-3.9836,22.57,17,96,4.31,ML,['dt']
257,bihariganj,25.7333,86.9833,15.71,58,0,1.19,IN,['dt']
258,petropavlovsk-kamchatskiy,53.0452,158.6483,-21.67,77,0,2.0,RU,['dt']
259,walvis bay,-22.9575,14.5053,20.05,80,27,3.08,NA,['dt']
260,mosetse,-20.75,26.65,26.45,40,82,2.61,BW,['dt']
261,hilliard,40.0334,-83.1582,14.61,49,40,9.26,US,['dt']
262,northam,51.0333,-4.2167,4.23,78,4,1.96,GB,['dt']
263,sampit,-2.5333,112.95,23.41,93,100,0.52,ID,['dt']
264,lagos,6.5833,3.75,29.18,77,100,3.43,NG,['dt']
265,sikeston,36.8767,-89.5879,14.98,82,100,5.14,US,['dt']
266,katobu,-4.9408,122.5276,24.33,88,99,0.7,ID,['dt']
267,churapcha,62.0025,132.4325,-40.55,100,100,0.68,RU,['dt']
268,macamic,48.7502,-78.9996,-1.16,97,100,5.89,CA,['dt']
269,upata,8.0086,-62.3989,27.33,52,100,1.85,VE,['dt']
270,kloulklubed,7.0419,134.2556,24.28,77,100,7.22,PW,['dt']
271,homer,59.6425,-151.5483,-0.07,96,100,1.54,US,['dt']
272,kaitangata,-46.2817,169.8464,11.24,76,99,5.1,NZ,['dt']
273,dunedin,-45.8742,170.5036,12.52,65,8,4.81,NZ,['dt']
274,nouadhibou,20.931,-17.0347,20.99,52,0,7.72,MR,['dt']
275,rafai,4.95,23.9167,25.41,20,14,0.97,CF,['dt']
276,huilong,31.8111,121.655,5.52,88,97,3.58,CN,['dt']
277,miandrivazo,-19.5167,45.4667,26.1,83,100,1.13,MG,['dt']
278,ayan,56.45,138.1667,-31.23,81,24,3.94,RU,['dt']
279,faya,18.3851,42.4509,15.06,80,33,2.76,SA,['dt']
280,longyearbyen,78.2186,15.6401,-5.09,86,75,19.55,SJ,['dt']
281,alofi,-19.0595,-169.9187,26.44,72,100,1.22,NU,['dt']
282,sena madureira,-9.0656,-68.6569,27.83,72,77,0.85,BR,['dt']
283,port lincoln,-34.7333,135.8667,17.96,82,5,6.2,AU,['dt']
284,clovis,36.8252,-119.7029,15.47,73,75,3.09,US,['dt']
285,rio claro,-22.4114,-47.5614,29.17,73,100,2.28,BR,['dt']
286,nishiwaki,34.9833,134.9667,6.66,89,6,1.75,JP,['dt']
287,mersing,2.4312,103.8405,24.83,87,100,3.02,MY,['dt']
288,turukhansk,65.8167,87.9833,-14.87,96,100,3.1,RU,['dt']
289,san patricio,28.017,-97.5169,25.92,73,100,7.98,US,['dt']
